fid,name,type,addr1,addr2,zip,lon,lan,tel,city,gugun,createDate,erdsgn,upDate
2080,남망산 산책로(2) 체력단련시설,간이운동장,경상남도 통영시 동호동 230-1 시민문화회관,,53051,128.4308924,34.8413033,055-650-4722,경상남도,통영시,20161231,N,2024-10-31
2081,남망산 산책로(3) 체력단련시설,간이운동장,경상남도 통영시 동호동 230-1 시민문화회관,,53051,128.4295896,34.84132042,055-650-4723,경상남도,통영시,20181212,N,2024-10-31
2082,남망산 산책로(3) 체력단련시설,간이운동장,경상남도 통영시 동호동 230-1 시민문화회관,,53051,128.4300813,34.84181757,055-650-4723,경상남도,통영시,20181115,N,2024-10-31
2083,남면 게이트볼장,전천후게이트볼장,전라남도 화순군 남면 사호로 226-19,,58144,127.0944895,35.00546092,061-373-9779,전라남도,화순군,19991231,N,2025-05-30
2084,남면 나발도 동네체육시설,간이운동장,전라남도 여수시 남면 두라리 87-2 나발리사무소,,59784,127.7394719,34.57286321,061-659-3269,전라남도,여수시,20180320,N,2025-06-18
2085,남면 대두마을 동네체육시설,간이운동장,전라남도 여수시 남면 두라리 216 대두리마을회관,,59784,127.7347034,34.56575149,061-659-3269,전라남도,여수시,20171208,N,2025-06-18
2086,남면 봉통마을 동네체육시설,간이운동장,전라남도 여수시 남면 두라리 165,,59784,127.7340669,34.56995225,061-659-3269,전라남도,여수시,20220304,N,2025-07-08
2087,남면 송고마을 동네체육시설,간이운동장,전라남도 여수시 남면 유송리 667-7,,59785,127.728314,34.54799416,061-659-3269,전라남도,여수시,20220311,N,2025-07-08
2088,남면 역포마을 동네체육시설,간이운동장,전라남도 여수시 남면 연도리 912-1 역포리사무소,,59787,127.8012083,34.45246539,061-659-3269,전라남도,여수시,20171027,N,2025-06-18
2089,남면 직포마을 동네체육시설,간이운동장,전라남도 여수시 남면 두모리 945-15 팔각정,,59786,127.7414359,34.50909607,061-659-3269,전라남도,여수시,20211210,N,2025-06-27
2090,남면 학동마을 동네체육시설,간이운동장,전라남도 여수시 남면 우학리 594-1 원학교회,,59786,127.7582582,34.50904726,061-659-3269,전라남도,여수시,20181130,N,2025-06-18
2091,남면 화태마을 월전경로당 동네체육시설,간이운동장,전라남도 여수시 남면 화태리 59-1 화태경로당,,59784,127.7368708,34.579185,061-659-3269,전라남도,여수시,20181130,N,2025-06-18
2092,남면게이트볼장,간이운동장,전라남도 장성군 남면 못재로 88-8,남면게이트볼장 옆,57248,126.81335,35.24502667,,전라남도,장성군,20080101,N,2024-10-31
2093,남면게이트볼장,전천후게이트볼장,경기도 양주시 남면 신산리 334-1,,11404,126.974252,37.89296704,031-8082-5647,경기도,양주시,19990101,N,2025-06-20
2094,남면게이트볼장,전천후게이트볼장,경상남도 남해군 남면 당항리 1440-6 복지회관,,52437,127.8874277,34.77169219,055-860-8665,경상남도,남해군,19990101,N,2025-06-12
2095,남면게이트볼장,전천후게이트볼장,충청남도 태안군 남면 달산리 1178-13,,32154,126.2986214,36.67250313,041-670-2762,충청남도,태안군,20161223,N,2025-05-14
2096,남면게이트볼장,간이운동장,경상북도 김천시 남면 월명리 242-4,,39667,128.2722958,36.05239472,054-421-2052,경상북도,김천시,20050101,N,2025-06-25
2097,남면공설운동장,축구장,경상남도 남해군 남면 당항리 1329-2 남면공설운동장,,52437,127.8916448,34.77171212,055-8608-664,경상남도,남해군,20161231,N,2025-06-12
2098,남면공설운동장,축구장,,홍천군 남면 월천리 341,25108,127.7748849,37.62772403,033-430-4473,강원특별자치도,홍천군,20131014,N,2024-10-31
2099,남면리 마을회관,간이운동장,경상북도 봉화군 재산면 남면리 645-21 남면리 마을회관,,36263,128.9596824,36.78647914,053-679-5713,경상북도,봉화군,20230501,N,2025-06-29
2100,남면리마을회관,간이운동장,경상북도 봉화군 재산면 남면리 813-1,137-7,36263,128.9556389,36.78295185,054-679-5713,경상북도,봉화군,20220101,N,2025-07-24
2101,남면생활체육공원 간이운동기구,간이운동장,,,24650,128.0817169,37.96374614,,강원특별자치도,인제군,20171201,N,2024-10-31
2102,남면일반산업단지 소공원,간이운동장,경기도 양주시 남면 구암리 367-1,,11407,126.973728,37.88418847,031-8082-7312,경기도,양주시,19990101,N,2025-06-12
2103,남면전천후게이트볼장,전천후게이트볼장,전라남도 장성군 남면 못재로 88-8,남면게이트볼장,57248,126.81335,35.24502667,061-390-7255,전라남도,장성군,20161231,N,2025-06-24
2104,남면테니스장,테니스장,강원특별자치도 홍천군 남면 월천리 341,,25108,127.7748393,37.62725943,033-430-4473,강원특별자치도,홍천군,20131014,N,2024-10-31
2105,남문 내,간이운동장,인천광역시 강화군 강화읍 강화대로 401-1,,23035,126.4863426,37.74584745,,인천광역시,강화군,20170524,N,2025-07-30
2106,남방2통 주민쉼터 동네체육시설,간이운동장,경기도 양주시 남방동 217,,11501,127.0362391,37.76800383,031-8082-5647,경기도,양주시,19990101,N,2025-06-13
2107,남방3통 동네체육시설,간이운동장,경기도 양주시 부흥로1398번길 189 (남방동),남방동438-3,11501,127.0315556,37.7763664,,경기도,양주시,20171122,N,2025-06-13
2108,남방4통 교각 밑 체육시설,간이운동장,경기도 양주시 외미로20번길 33 (남방동),남방동 194-9,11501,127.0435463,37.7678791,,경기도,양주시,20171122,N,2025-06-13
2109,남부2어린이공원 게이트볼장,간이운동장,경상남도 양산시 남부동 470-1,,50623,129.0365737,35.33593409,055-392-3404,경상남도,양산시,19990101,N,2024-10-31
2110,남부경로당,간이운동장,대전광역시 중구 용두동 93-10,남부경로당,34855,127.4089523,36.32771177,042-606-6274,대전광역시,중구,20230323,N,2025-05-30
2111,남부경로당 운동기구,간이운동장,경상북도 문경시 모전동 74-4,,36950,128.1947001,36.58661333,054-550-8815,경상북도,문경시,20210723,N,2024-10-31
2112,남부권 골프연습장,골프연습장,경상남도 합천군 삼가면 일부리 729-13,,50219,128.1235037,35.40859679,055-930-4933,경상남도,합천군,20211028,N,2025-05-12
2113,남부대시립국제수영장,수영장,광주광역시 광산구 월계동 864-1 남부대학교,,62271,126.8413658,35.20740108,062-460-2016,광주광역시,,20150330,N,2025-06-30
2114,남부문화체육센터,생활체육관,경상남도 산청군 신안면 하정리 930-1,,52249,127.9710731,35.30130789,055-973-7373,경상남도,산청군,20200501,Y,2025-06-25
2115,남부문화체육센터 수영장,수영장,경상남도 산청군 신안면 하정리 930-1,남부문화체육센터,52249,127.9710731,35.30130789,055-970-6423,경상남도,산청군,19000101,N,2024-10-31
2116,남부문화체육센터 체력단련장,기타체육시설(체력단련장),경상남도 산청군 신안면 하정리 930-1,남부문화체육센터,52249,127.9710731,35.30130789,055-970-6423,경상남도,산청군,19000101,N,2024-10-31
2117,남부민1동 복합커뮤니티센터 동네체육시설,간이운동장,부산광역시 서구 남부민동 67-10,,49256,129.0228993,35.09132016,051-240-4781,부산광역시,서구,20170101,N,2025-06-29
2118,남부수자원 생태공원,간이운동장,경기도 부천시 옥길동 454-1 부천남부수자원생태공원,,14785,126.8283423,37.46960744,032-340-5370,경기도,부천시,19990101,N,2024-10-31
2119,남부수자원생태공원,간이운동장,경기도 부천시 소사구 옥길동 454-1 부천남부수자원생태공원,,14785,126.8283112,37.46962974,032-340-0895,경기도,부천시,20201231,N,2025-06-30
2120,남부수자원생태공원 테니스장,테니스장,경기도 부천시 옥길동 454-1 부천남부수자원생태공원,,14785,126.827393,37.47026929,070-7711-5309,경기도,부천시,20201231,N,2025-06-26
2121,남부유수지체육공원 게이트볼장,간이운동장,경상남도 양산시 남부동 609-1,,50635,127.265434,36.49787653,055-392-3404,경상남도,양산시,19000101,N,2024-10-31
2122,남부지방산림청,간이운동장,경상북도 안동시 옥동 1230-2 남부지방산림청,,36663,128.6835289,36.55130678,054-840-4911,경상북도,안동시,20170101,N,2025-06-28
2123,남부체육공원 탁구장,구기체육관,경상남도 산청군 신안면 하정리 567,,52249,127.9760423,35.30661878,055-970-6433,경상남도,산청군,20170904,N,2025-05-20
2124,남부체육문화센터,축구장,충청남도 금산군 남일면 금산로 558-20,,32760,127.5044878,36.02969739,,충청남도,금산군,20170117,N,2025-07-28
2125,남부환경공원 게이트볼장,전천후게이트볼장,부산광역시 남구 이기대공원로 11 (용호동),,48576,129.1164146,35.12580335,051-713-0125,부산광역시,,20161231,N,2025-06-05
2126,남부환경공원 그라운드골프장,기타시설,부산광역시 남구 용호동 12,남부하수처리장,48576,129.1164145,35.12579974,051-713-0125,부산광역시,,20191122,Y,2025-06-05
2127,남부환경공원 축구장,축구장,부산광역시 남구 이기대공원로 11 (용호동),,48576,129.1164146,35.12580335,051-713-0125,부산광역시,,20161231,N,2025-06-05
2128,남부환경공원 테니스장,테니스장,부산광역시 남구 용호동 12,남부하수처리장,48576,129.1164145,35.12579974,051-713-0125,부산광역시,,20191122,Y,2025-06-05
2129,남부환경공원 풋살장,축구장,부산광역시 남구 용호동 85-23,,48577,129.1164145,35.12579974,051-888-3734,부산광역시,,20191203,Y,2025-06-05
2130,남빛공원운동기구,간이운동장,,서곡리2022,26400,127.9490326,37.31845789,,강원특별자치도,원주시,20170221,N,2024-10-31
2131,남사2리(마을회관),간이운동장,경상북도 경주시 현곡면 남사리 569,.,38044,129.1338156,35.90788227,054-779-8251,경상북도,경주시,20180420,N,2025-06-18
2132,남사게이트볼장,전천후게이트볼장,경기도 용인시 처인구 남사읍 봉무리 438-1 남사읍행정복지센터,경기도 용인시 처인구 남사면 내기로 22,17118,127.1505036,37.11568157,031-6193-5051,경기도,용인시,20010101,N,2025-07-15
2133,남산 동네 체육시설,간이운동장,경상남도 사천시 곤양면 남산로 26,남문외리 12-3,52504,127.959492,35.054423,055-831-5172,경상남도,사천시,19990101,N,2024-10-31
2134,남산 동네체육시설,간이운동장,경상북도 영양군 영양읍 군민회관길 70,,36540,129.1168785,36.65894551,054-680-6452,경상북도,영양군,20161009,N,2025-01-31
2135,남산1동 공터,간이운동장,대구광역시 중구 남산동 2004-2,경북여고 뒷담,41963,128.5940838,35.85763422,053-661-2785,대구광역시,중구,19000101,N,2025-05-13
2136,남산1리 경로당 옆,간이운동장,인천광역시 강화군 강화읍 부조고개길 34,,23037,126.4863554,37.74137154,,인천광역시,강화군,20170524,N,2025-07-30
2137,남산1리 마을회관 마을체육시설,간이운동장,경상북도 청도군 각북면 남산리 289-19 남산1리경로회관,남산1리 마을회관,38302,128.5897959,35.68860874,054-370-2568,경상북도,청도군,20190510,N,2024-10-31
2138,남산2동 주민쉼터,간이운동장,대구광역시 중구 남산동 413-1,,41966,128.5892154,35.86531602,053-661-2785,대구광역시,중구,19000101,N,2025-05-19
2139,남산3리 경로당옆,간이운동장,경상북도 김천시 어모면 남산리 1620,,39535,128.1158605,36.15808662,054-430-3002,경상북도,김천시,20150101,N,2025-06-24
2140,남산경로당 동네체육시설,간이운동장,광주광역시 광산구 남산동 385-2,,62404,126.7265645,35.17170462,062-960-9924,광주광역시,광산구,20151211,N,2025-06-27
2141,남산공원,간이운동장,경상북도 김천시 황금동 69-1,,39595,128.1198535,36.1169586,054-420-6757,경상북도,김천시,20200228,N,2025-03-16
2142,남산공원 게이트볼장,전천후게이트볼장,전라남도 화순군 화순읍 진각로 85,남산공원,58122,126.9851617,35.05831397,061-379-3401,전라남도,화순군,19951031,N,2025-05-30
2143,남산그린타운,간이운동장,대구광역시 중구 남산동 2937-1 남산그린타운,,41974,128.576747,35.86287963,053-661-2785,대구광역시,중구,19000101,N,2025-06-10
2144,남산근린공원게이트볼장,전천후게이트볼장,경기도 평택시 팽성읍 송화택지로25번길 63,,17991,127.0608109,36.96161121,031-8024-3350,경기도,평택시,20080101,N,2025-06-05
2145,남산동 70-2,간이운동장,경상북도 김천시 평화동 70-2,,39574,128.1132904,36.12687994,054-420-7924,경상북도,김천시,20240430,N,2025-06-25
2146,남산동 삼정그린코아,간이운동장,대구광역시 중구 남산동 665 반월당삼정그린코아아파트,,41967,128.5921414,35.86350841,053-661-2785,대구광역시,중구,19000101,N,2025-05-19
2147,남산동 쌈지공원,간이운동장,대구광역시 중구 명륜로12길 37 (남산동),남산동 578-1,41969,128.5882728,35.86278825,,대구광역시,중구,20170830,N,2025-06-10
2148,남산동 허브스카이,간이운동장,대구광역시 중구 남산동 654-1 반월당SK허브스카이아파트,,41967,128.5925742,35.86224693,053-661-2785,대구광역시,중구,19000101,N,2025-05-19
2149,남산레포츠공원,간이운동장,울산광역시 남구 신정동  1628 공원관리소,,44649,129.2961851,35.53999115,,울산광역시,남구,20161220,N,2024-10-31
2150,남산리 족구장,간이운동장,경상북도 김천시 어모면 남산리 2022,,39536,128.1365337,36.16262504,054-430-3002,경상북도,김천시,20140101,N,2025-06-24
2151,남산마을회관,간이운동장,경상북도 경주시 남산동 1013-3 남산동회관,남산마을회관,38174,129.242525,35.79351199,054-779-8401,경상북도,경주시,20201113,N,2025-03-20
2152,남산면 산양리 57,간이운동장,경상북도 경산시 남산면 하남로 323,,38572,128.8373365,35.79335984,,경상북도,경산시,20171016,N,2024-10-31
2153,남산면 전지리 50,간이운동장,경상북도 경산시 남산면 전지리 50,마을공터,38571,128.8119458,35.78807902,,경상북도,경산시,20181224,N,2024-10-31
2154,남산면 평기리 128-1,간이운동장,경상북도 경산시 남산면 평기리 128-1,마을공터,38573,128.8431581,35.76364194,,경상북도,경산시,20181224,N,2024-10-31
2155,남산면게이트볼장,전천후게이트볼장,강원특별자치도 춘천시 남산면 방곡리 629-28,,24465,127.642335,37.79401913,033-250-4232,강원특별자치도,춘천시,20080408,N,2025-07-30
2156,남산빌리지마을 체육시설,간이운동장,충청북도 충주시 교현동 39-1,교현동 37-35,27487,127.9518265,36.96283155,043-850-8358,충청북도,충주시,20121204,N,2025-07-30
2157,남산약수터 내,간이운동장,인천광역시 강화군 강화읍 청하동길36번길 29-41,,23034,126.4780175,37.74220344,,인천광역시,강화군,20170524,N,2025-07-30
2158,남산어린이공원,간이운동장,대전광역시 유성구 구암동 628-1 경로당,,34182,127.3282862,36.34947482,042-6112-038,대전광역시,유성구,20180406,N,2025-07-28
2159,남산풋살경기장,간이운동장,울산광역시 남구 신정동  1628 공원관리소,,44649,129.2961851,35.53999115,052-226-0900,울산광역시,남구,20161009,N,2024-10-31
2160,남상면 간이운동시설,간이운동장,경상남도 거창군 남상면 무촌리 632-2 남상면사무소,,50148,127.9105058,35.64298394,055-940-7663,경상남도,거창군,19990101,N,2024-10-31
2161,남선공원종합체육관,생활체육관,대전광역시 서구 탄방동  1084 남선공원,,35254,127.3981778,36.34640025,,대전광역시,서구,20161107,N,2024-10-31
2162,남선리 생활체육시설,간이운동장,전라남도 진도군 임회면 남선길 62,앞 마을공터,58945,126.1894244,34.36720107,,전라남도,진도군,20150101,N,2024-10-31
2163,남성1통 마을회관 동네체육시설,간이운동장,경상북도 상주시 남성동 1-22,마을회관,37195,128.1622223,36.41455022,054-537-8569,경상북도,상주시,20230602,N,2025-06-14
2164,남성8통(마을회관) 동네체육시설,간이운동장,경상북도 상주시 남성동 211-3,,37216,128.1586945,36.40874022,054-537-8919,경상북도,상주시,20240322,N,2025-06-14
2165,남성9통(황제맨션) 동네체육시설,간이운동장,경상북도 상주시 남성동 156-14 황제맨션,,37215,128.1616548,36.41117854,054-537-8566,경상북도,상주시,20180629,N,2025-06-14
2166,남성리 그라운드골프장,기타시설,충청북도 영동군 황간면 남성리 624,,29115,127.9060994,36.23098807,,충청북도,영동군,20180618,N,2025-05-07
2167,남성리 다목적구장,기타시설,충청북도 영동군 황간면 남성리 624,,29115,127.9060994,36.23098807,,충청북도,영동군,20180628,N,2025-05-07
2168,남성리 동네체육시설물,간이운동장,경상북도 영천시 금호읍 남성리 557,,38911,128.8752274,35.90190025,054-339-7011,경상북도,영천시,20210624,N,2025-06-25
2169,남수정,국궁장,인천광역시 남동구 무네미로 238 (장수동),,21533,126.7564772,37.45166336,032-440-5811,인천광역시,,19940101,N,2025-07-31
2170,남악동네 체육시설,간이운동장,충청북도 충주시 신니면 모남리 305,,27454,127.670192,37.00779843,043-850-6621,충청북도,충주시,20180223,N,2025-06-17
2171,남애경로당(주계리),간이운동장,경상북도 안동시 와룡면 주계리 175-1,남애경로당,36610,128.8072471,36.63905002,054-840-4061,경상북도,안동시,20250625,N,2025-07-17
2172,남양 공공하수처리장 국궁장,기타시설,경기도 화성시 남양읍 남양리 967-20,,18260,126.7969388,37.19352249,031-5189-2741,경기도,화성시,19990101,N,2024-10-31
2173,남양 공공하수처리장 농구장,기타시설,경기도 화성시 남양읍 남양리 967-20,,18260,126.7969388,37.19352249,031-5189-2741,경기도,화성시,19990101,N,2024-10-31
2174,남양 공공하수처리장 축구장,축구장,경기도 화성시 남양읍 남양리 967-20,,18260,126.7969388,37.19352249,031-5189-2741,경기도,화성시,19990101,N,2024-10-31
2175,남양 푸른 건강뜰 공원 농구장,기타시설,경기도 화성시 남양읍 남양리 2236,상세주소,18263,126.8269894,37.21127196,031-8059-3274,경기도,화성시,19990101,N,2024-10-31
2176,남양 푸른 건강뜰 공원 축구장,축구장,경기도 화성시 남양읍 남양리 2236,남양 푸른 건강뜰 공원,18263,126.8264524,37.20997393,031-5189-6188,경기도,화성시,19990101,N,2024-10-31
2177,남양 푸른 건강뜰 공원 풋살구장,기타시설,경기도 화성시 남양읍 남양리 2236,상세주소,18263,126.8269894,37.21127196,031-8059-3274,경기도,화성시,19990101,N,2024-10-31
2178,남양노인게이트볼장,전천후게이트볼장,전라남도 고흥군 남양면 남양희망길 38,,59509,127.3415168,34.72939152,061-830-6733,전라남도,고흥군,20060101,N,2025-07-30
2179,남양마을회관,간이운동장,전라남도 장성군 장성읍 백계리 457-1 백계리마을회관,남양마을회관,57209,126.8116151,35.34546889,061-390-8506,전라남도,장성군,19000101,N,2025-06-23
2180,남양면게이트볼장,전천후게이트볼장,충청남도 청양군 남양면 구룡리 547-44,,33306,126.7747124,36.39859422,041-940-4863,충청남도,청양군,20021231,N,2025-06-29
2181,남양주시종합운동장야구장(1구장),야구장,경기도 남양주시 이패동 산87,,12244,127.1762111,37.60743928,031-590-8750,경기도,남양주시,19990101,N,2025-06-20
2182,남양주시청소년수련관,생활체육관,경기도 남양주시 이패동 715-12 남양주시청소년수련관,,12244,127.1781185,37.60893656,031-560-1322,경기도,남양주시,19990101,N,2025-07-01
2183,남양주시청소년수련관수영장,수영장,경기도 남양주시 이패동 715-12 남양주시청소년수련관,,12244,127.1782803,37.60888856,031-560-1321,경기도,남양주시,19990101,N,2025-07-01
2184,남양주체육문화센터수영장,수영장,경기도 남양주시 이패동 산87,,12244,127.1756062,37.60990889,031-560-1256,경기도,남양주시,19990101,N,2025-07-16
2185,남양체육공원 풋살장,기타시설,경기도 화성시 남양읍 남양리 2236,,18263,126.8264524,37.20997393,031-5189-6188,경기도,화성시,19990101,N,2024-10-31
2186,남양푸른건강뜰 공원 게이트볼장,전천후게이트볼장,경기도 화성시 남양읍 남양리 2236,,18263,126.8264524,37.20997393,031-8059-3274,경기도,화성시,19990101,N,2025-07-31
2187,남양푸른건강뜰 공원 농구장,기타체육시설(체력단련장),경기도 화성시 남양읍 남양리 2236,,18263,126.8264524,37.20997393,031-8059-3274,경기도,화성시,19990101,N,2025-07-31
2188,남양푸른건강뜰체육공원 족구장,기타시설,경기도 화성시 남양읍 남양리 2236,,18263,126.8264524,37.20997393,031-5189-6188,경기도,화성시,19990101,N,2025-05-23
2189,남양휴튼2차아파트,간이운동장,광주광역시 남구 봉선동  1080 봉선2차 남양휴튼,,61683,126.9081465,35.12471103,,광주광역시,남구,20161228,N,2024-10-31
2190,남원 다목적구장,테니스장,전라북도 남원시 월락동  248 춘향골체육공원,,55732,127.4054607,35.43086752,,전북특별자치도,남원시,20141215,Y,2025-06-28
2191,남원 실내게이트볼장,전천후게이트볼장,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4054643,35.43086084,,전북특별자치도,남원시,20220118,Y,2025-06-28
2192,남원 실내배드민턴장,기타시설,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4054643,35.43086084,,전북특별자치도,남원시,20220729,Y,2025-06-28
2193,남원 실내체육관,생활체육관,전라북도 남원시 월락동  248 춘향골체육공원,,55732,127.4054607,35.43086752,063-620-5619,전북특별자치도,남원시,20091224,Y,2025-06-28
2194,남원교육문화회관 수영장,수영장,전북특별자치도 남원시 동충동 171-2 남원교육문화회관,,55762,127.381585,35.40987729,063-635-9333,전북특별자치도,남원시,20240222,N,2025-03-05
2195,남원동 개운 게이트볼장,간이운동장,경상북도 상주시 석단로 1696 (개운동),,37203,128.1476098,36.39858334,054-537-8566,경상북도,상주시,20071207,N,2025-06-14
2196,남원동 개운동 동네체육시설,간이운동장,경상북도 상주시 석단로 1696 (개운동),,37203,128.1476098,36.39858334,,경상북도,상주시,20070101,N,2024-10-31
2197,남원위미전천후게이트볼장,전천후게이트볼장,제주특별자치도 서귀포시 남원읍 위미리 1757-12 제주해양경비안전서 위미출장소,,63610,126.663721,33.27099076,064-760-4115,제주특별자치도,서귀포시,20161231,N,2024-10-31
2198,남원읍 문화체육복합센터,생활체육관,제주특별자치도 서귀포시 남원읍 남원리 2337-1,,63620,126.7033506,33.27740522,064-900-1791,제주특별자치도,서귀포시,20231027,Y,2025-06-30
2199,남원전천후게이트볼장,전천후게이트볼장,제주특별자치도 서귀포시 남원읍 남원리 2337-1,,63620,126.7044159,33.27794297,064-760-3652,제주특별자치도,서귀포시,20161231,N,2024-10-31
2200,남원종합스포츠타운 실내수영장(구:남원실내수영장),수영장,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4054643,35.43086084,063-635-7330,전북특별자치도,남원시,20220821,Y,2025-06-28
2201,남원종합스포츠타운 족구장,기타시설,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4054643,35.43086084,,전북특별자치도,남원시,20211230,N,2025-06-28
2202,남원종합스포츠타운 주경기장,육상경기장,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4038516,35.43055186,063-620-5619,전북특별자치도,남원시,20021202,N,2025-06-28
2203,남원종합스포츠타운 축구장,축구장,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4054643,35.43086084,063-620-5619,전북특별자치도,남원시,20211230,N,2025-06-28
2204,남원주초교운동기구,간이운동장,,,26488,127.9509819,37.32274902,,강원특별자치도,원주시,20170221,N,2024-10-31
2205,남원테니스장,테니스장,전북특별자치도 남원시 월락동 248 춘향골체육공원,,55732,127.4054643,35.43086084,,전북특별자치도,남원시,20180413,N,2025-06-28
2206,남이면 게이트볼장,전천후게이트볼장,충청남도 금산군 남이면 원하금길 8,,32751,127.4383553,36.04617572,,충청남도,금산군,20170118,N,2025-07-29
2207,남이면다목적체육관,생활체육관,충청북도 청주시 서원구 남이면 부용외천리 498 부용외천2리 경로당,,28185,127.426865,36.53243303,043-201-6505,충청북도,청주시,20190429,N,2025-05-29
2208,남인천여자중학교,간이운동장,인천광역시 남구 인하로 426 (관교동),,22240,126.6940499,37.445117,,인천광역시,남구,19960201,N,2024-10-31
2209,남일게이트볼장,간이운동장,충청북도 청주시 상당구 남일면 고은1길 19,,28190,127.5080992,36.56783681,,충청북도,청주시,20170417,N,2024-11-08
2210,남일고등학교 체육시설,간이운동장,부산광역시 수영구 망미배산로48번길 85-23 (망미동),남일고등학교,48201,129.1011691,35.17856639,051-750-0100,부산광역시,수영구,20050430,N,2024-10-31
2211,남일면 게이트볼장,전천후게이트볼장,충청남도 금산군 남일면 하초현길 20,,32758,127.505746,36.04185852,,충청남도,금산군,20170118,N,2025-07-29
2212,남일면체육센터,생활체육관,충청남도 금산군 남일면 금산로 558-20,,32760,127.5044878,36.02969739,,충청남도,금산군,20170117,N,2025-07-29
2213,남장18통(남노마을회관) 동네체육시설,간이운동장,경상북도 상주시 남장동 229-27,,37163,128.1175123,36.4122426,054-537-8566,경상북도,상주시,20141230,N,2025-06-14
2214,남장19통(남장마을회관) 동네체육시설,간이운동장,경상북도 상주시 남장동 418-2,,37163,128.1139358,36.4181069,054-537-8566,경상북도,상주시,20170630,N,2025-06-14
2215,남장동 동네체육시설,간이운동장,경상북도 상주시 남장동 511-1,,37163,128.1173903,36.41446788,054-537-8919,경상북도,상주시,20100303,N,2025-06-14
2216,남장동(족구장) 동네체육시설,간이운동장,경상북도 상주시 남장동 511-1,(남장동 364 앞),37163,128.1173405,36.41512301,054-537-8566,경상북도,상주시,20141230,N,2025-06-14
2217,남전마을 송정경로당 체력단련시설,간이운동장,경상남도 통영시 산양읍 남평리 1397-30 송정경로당,,53084,128.3894407,34.80086234,055-650-4723,경상남도,통영시,20181123,N,2024-10-31
2218,남전마을 체육시설,간이운동장,경상남도 밀양시 하남읍 남전리 248,,50454,128.7255688,35.41332998,055-359-5780,경상남도,밀양시,20140101,N,2025-05-30
2219,남정리게이트볼장,전천후게이트볼장,경기도 이천시 신둔면 남정리 185-1 게이트볼장,,17302,127.4072586,37.3224387,031-644-4313,경기도,이천시,20161231,N,2024-10-31
2220,남제22동동네체육시설,간이운동장,전라남도 순천시 남정동 525 성남초등학교,,57959,127.4896402,34.94242419,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2221,남제23동동네체육시설,간이운동장,전라남도 순천시 남정동 557-27 남제 장평경로당,,57959,127.4921755,34.94113741,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2222,남제24동동네체육시설,간이운동장,전라남도 순천시 남정동 448,,57958,127.4857165,34.93568554,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2223,남제25동동네체육시설,간이운동장,전라남도 순천시 남정동 305-4,도로 끝,57958,127.48778,34.93990691,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2224,남제26동동네체육시설,간이운동장,전라남도 순천시 인제동 19-2 인제건널목 관리사무소,남제공원,57959,127.4915809,34.94366477,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2225,남제27동동네체육시설,간이운동장,전라남도 순천시 인제동 181-2,인제 행복경로당 옆,57958,127.4868901,34.94398364,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2226,남제28동동네체육시설,간이운동장,전라남도 순천시 남정동 256-6 게이트볼장,,57958,127.4844058,34.94124643,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2227,남제29동동네체육시설,간이운동장,전라남도 순천시 인제동 28-4,인제C지구 성남경로당,57959,127.4897536,34.94487919,061-749-6662,전라남도,순천시,19000101,N,2024-10-31
2228,남종 공설운동장,간이운동장,경기도 광주시 남종면 분원리 103-2,,12708,127.3014332,37.49661217,,경기도,광주시,20161228,N,2025-06-05
2229,남청아파트 체육시설,간이운동장,강원특별자치도 태백시 황지동 74-3 태백남청아파트,,26014,128.9942518,37.16822819,033-550-2404,강원특별자치도,태백시,20140621,N,2025-06-13
2230,남측공원,간이운동장,인천광역시 서구 정서진로 117 (오류동),(실제주소 : 오류동 1579-1),22850,126.6194288,37.56110412,,인천광역시,서구,20171214,N,2024-10-31
2231,남치리 주민생활체육시설,간이운동장,전라남도 화순군 백아면 남치리 228,정각 옆,58100,127.1197337,35.19009673,061-379-3403,전라남도,화순군,20130101,N,2025-06-17
2232,남통공원,간이운동장,경상북도 구미시 남통동 7-3,6-3일원,39301,128.3238448,36.12948174,054-480-5573,경상북도,구미시,19000101,N,2024-10-31
2233,남평2리 다실마을 운동기구,간이운동장,강원특별자치도 정선군 북평면 남평리 130-4,,26103,128.6695715,37.4365684,033-560-2838,강원특별자치도,정선군,20230718,N,2025-06-19
2234,남평마을 야외운동시설,간이운동장,경상남도 양산시 물금읍 증산리 956-4 남평회관,,50614,129.0005697,35.29784732,055-392-7015,경상남도,양산시,20180601,N,2024-10-31
2235,남포 그라운드 골프장,골프연습장,전라남도 강진군 강진읍 남포리 548 남포축구장,,59241,126.7734323,34.62044753,061-430-3822,전라남도,강진군,20070401,N,2025-05-29
